,year,exporter_iso_3,importer_iso_3,product_category,trade_value_thousands_usd,quantity_metric_tones,exporter_3digit,importer_3digit,exporter_country_name,importer_country_name
0,2019,8,70,Portland not white,341.846,6297.69,ALB,BIH,Albania,Bosnia Herzegovina
1,2019,40,70,Portland white,0.117,0.889,AUT,BIH,Austria,Bosnia Herzegovina
2,2019,40,70,Portland not white,266.912,4440.72,AUT,BIH,Austria,Bosnia Herzegovina
3,2019,56,70,Portland white,11.514,7.163,BEL,BIH,Belgium,Bosnia Herzegovina
4,2019,56,70,Portland not white,0.165,0.069,BEL,BIH,Belgium,Bosnia Herzegovina
5,2019,191,70,Portland white,90.413,766.426,HRV,BIH,Croatia,Bosnia Herzegovina
6,2019,191,70,Portland not white,29832.916,416302.915,HRV,BIH,Croatia,Bosnia Herzegovina
7,2019,276,70,Portland not white,0.021,0.088,DEU,BIH,Germany,Bosnia Herzegovina
8,2019,392,70,Portland not white,0.322,0.31,JPN,BIH,Japan,Bosnia Herzegovina
9,2019,616,70,Portland white,0.152,0.175,POL,BIH,Poland,Bosnia Herzegovina
10,2019,688,70,Portland not white,613.968,6853.84,SRB,BIH,Serbia,Bosnia Herzegovina
11,2019,703,70,Portland white,360.144,2272.018,SVK,BIH,Slovakia,Bosnia Herzegovina
12,2019,705,70,Portland white,1.46,8.124,SVN,BIH,Slovenia,Bosnia Herzegovina
13,2019,705,70,Portland not white,1596.605,23799.755,SVN,BIH,Slovenia,Bosnia Herzegovina
14,2019,724,70,Portland white,40.563,224.465,ESP,BIH,Spain,Bosnia Herzegovina
15,2019,792,70,Portland white,218.109,1571.85,TUR,BIH,Turkey,Bosnia Herzegovina
16,2019,792,70,Portland white,218.109,1571.85,TUR,BIH,Turkey,Bosnia Herzegovina
17,2019,792,70,Portland white,218.109,1571.85,TUR,BIH,Turkey,Bosnia Herzegovina
18,2019,792,70,Portland white,218.109,1571.85,TUR,BIH,Turkey,Bosnia Herzegovina
19,2019,826,70,Portland not white,0.941,3.21,GBR,BIH,United Kingdom,Bosnia Herzegovina
20,2019,8,270,Portland not white,786.466,10956.8,ALB,GMB,Albania,Gambia
21,2019,616,270,Portland not white,0.062,0.05,POL,GMB,Poland,Gambia
22,2019,724,270,Portland white,17.02,156.76,ESP,GMB,Spain,Gambia
23,2019,724,270,Portland not white,5536.205,159432.643,ESP,GMB,Spain,Gambia
24,2019,792,270,Portland not white,657.317,15650.4,TUR,GMB,Turkey,Gambia
25,2019,792,270,Portland not white,657.317,15650.4,TUR,GMB,Turkey,Gambia
26,2019,792,270,Portland not white,657.317,15650.4,TUR,GMB,Turkey,Gambia
27,2019,792,270,Portland not white,657.317,15650.4,TUR,GMB,Turkey,Gambia
28,2019,12,270,Portland not white,6193.936,128527.7,DZA,GMB,Algeria,Gambia
29,2019,156,270,Portland white,0.044,0.125,CHN,GMB,China,Gambia
30,2019,156,270,Portland not white,1.017,6.0,CHN,GMB,China,Gambia
31,2019,246,270,Portland not white,0.042,0.125,FIN,GMB,Finland,Gambia
32,2019,344,270,Portland not white,0.042,1.95,HKG,GMB,"China, Hong Kong Special Administrative Region",Gambia
33,2019,504,270,Portland not white,3929.138,51695.0,MAR,GMB,Morocco,Gambia
34,2019,528,270,Portland not white,0.042,0.5,NLD,GMB,Netherlands,Gambia
35,2019,686,270,Portland white,0.223,0.5,SEN,GMB,Senegal,Gambia
36,2019,686,270,Portland not white,15366.992,220337.482,SEN,GMB,Senegal,Gambia
37,2019,752,270,Portland not white,4.051,80.0,SWE,GMB,Sweden,Gambia
38,2019,784,270,Portland white,1.514,11.787,ARE,GMB,United Arab Emirates,Gambia
39,2019,788,270,Portland white,53.09,353.504,TUN,GMB,Tunisia,Gambia
40,2019,788,270,Portland not white,10.537,112.0,TUN,GMB,Tunisia,Gambia
41,2019,818,270,Portland white,7.949,53.2,EGY,GMB,Egypt,Gambia
42,2019,8,300,Portland not white,0.029,0.032,ALB,GRC,Albania,Greece
43,2019,40,300,Portland not white,0.008,0.113,AUT,GRC,Austria,Greece
