country,country_code,continent,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Latin America & Caribbean,"(54208.0, nan, 65.662)","(55434.0, nan, 66.074)","(56234.0, nan, 66.444)","(56699.0, nan, 66.787)","(57029.0, nan, 67.113)","(57357.0, nan, 67.435)","(57702.0, nan, 67.762)","(58044.0, nan, 68.095)","(58377.0, nan, 68.436)","(58734.0, nan, 68.784)","(59070.0, nan, 69.14)","(59442.0, nan, 69.498)","(59849.0, nan, 69.851)","(60236.0, nan, 70.191)","(60527.0, nan, 70.519)","(60653.0, nan, 70.833)","(60586.0, nan, 71.14)","(60366.0, nan, 71.441)","(60102.0, nan, 71.736)","(59972.0, nan, 72.023)","(60097.0, nan, 72.293)","(60561.0, nan, 72.538)","(61341.0, nan, 72.751)","(62213.0, nan, 72.929)","(62826.0, nan, 73.071)","(63024.0, nan, 73.181)","(62645.0, 6472.39870887477, 73.262)","(61838.0, 7885.15892730063, 73.325)","(61072.0, 9765.90920740626, 73.378)","(61033.0, 11392.2691499861, 73.425)","(62152.0, 12306.7176791493, 73.468)","(64623.0, 13495.79430054, 73.509)","(68240.0, 14045.4745656146, 73.544)","(72495.0, 14938.6815734932, 73.573)","(76705.0, 16239.9878515928, 73.598)","(80324.0, 16439.3563609282, 73.622)","(83211.0, 16583.8758560136, 73.646)","(85450.0, 17927.9594391833, 73.671)","(87280.0, 19077.6874273513, 73.7)","(89009.0, 19355.3335357274, 73.738)","(90866.0, 20617.7504673528, 73.787)","(92892.0, 20670.3670051627, 73.853)","(94992.0, 20436.8871286309, 73.937)","(97016.0, 20833.976357295, 74.038)","(98744.0, 22568.3749910043, 74.156)","(100028.0, 23300.7383630907, 74.287)","(100830.0, 24046.2263769373, 74.429)","(101226.0, 25834.1117784233, 74.576)","(101362.0, 27083.6348596914, 74.725)","(101452.0, 24631.1820522439, 74.872)","(101665.0, 23513.527696809, 75.017)","(102050.0, 24985.0139185797, 75.158)","(102565.0, 24712.4932628907, 75.299)","(103165.0, 26441.6199357378, 75.441)","(103776.0, 26893.0115056581, 75.583)","(104339.0, 28396.9084228616, 75.725)","(104865.0, 28452.1706146796, 75.868)","(105361.0, 29350.8050189137, 76.01)","(105846.0, 30253.2793580195, 76.152)","(106310.0, nan, 76.293)","(106766.0, nan, nan)"
Afghanistan,AFG,South Asia,"(8996967.0, nan, 32.446)","(9169406.0, nan, 32.962)","(9351442.0, 58.4580086983139, 33.471)","(9543200.0, 78.7064287776753, 33.971)","(9744772.0, 82.0953065340517, 34.463)","(9956318.0, 101.108325163758, 34.948)","(10174840.0, 137.594297961115, 35.43)","(10399936.0, 160.898434161304, 35.914)","(10637064.0, 129.108310965006, 36.403)","(10893772.0, 129.329760364199, 36.9)","(11173654.0, 156.518771348706, 37.409)","(11475450.0, 159.567508996258, 37.93)","(11791222.0, 135.317227981591, 38.461)","(12108963.0, 143.144649500081, 39.003)","(12412960.0, 173.653624742026, 39.558)","(12689164.0, 186.510838346447, 40.128)","(12943093.0, 197.445507551145, 40.715)","(13171294.0, 224.225001566116, 41.32)","(13341199.0, 247.354087806417, 41.944)","(13411060.0, 275.738115377232, 42.585)","(13356500.0, 272.655510200686, 43.244)","(13171679.0, 264.111197144336, 43.923)","(12882518.0, nan, 44.617)","(12537732.0, nan, 45.324)","(12204306.0, nan, 46.04)","(11938204.0, nan, 46.761)","(11736177.0, nan, 47.486)","(11604538.0, nan, 48.211)","(11618008.0, nan, 48.93)","(11868873.0, nan, 49.64)","(12412311.0, nan, 50.331)","(13299016.0, nan, 50.999)","(14485543.0, nan, 51.641)","(15816601.0, nan, 52.256)","(17075728.0, nan, 52.842)","(18110662.0, nan, 53.398)","(18853444.0, nan, 53.924)","(19357126.0, nan, 54.424)","(19737770.0, nan, 54.906)","(20170847.0, nan, 55.376)","(20779957.0, nan, 55.841)","(21606992.0, nan, 56.308)","(22600774.0, 179.426579211394, 56.784)","(23680871.0, 190.683814295088, 57.271)","(24726689.0, 211.382074198939, 57.772)","(25654274.0, 242.031313175022, 58.29)","(26433058.0, 263.733601866274, 58.826)","(27100542.0, 359.693157866109, 59.375)","(27722281.0, 364.660679028164, 59.93)","(28394806.0, 438.076142403179, 60.484)","(29185511.0, 543.302967401909, 61.028)","(30117411.0, 591.162798293135, 61.553)","(31161378.0, 641.871437960934, 62.054)","(32269592.0, 637.165463951798, 62.525)","(33370804.0, 613.856505217398, 62.966)","(34413603.0, 578.466352941708, 63.377)","(35383028.0, 509.220100485356, 63.763)","(36296111.0, 519.888912573073, 64.13)","(37171922.0, 493.756581366026, 64.486)","(38041757.0, 507.103391875763, 64.833)","(38928341.0, 508.808409485223, nan)"
Angola,AGO,Sub-Saharan Africa,"(5454938.0, nan, 37.524)","(5531451.0, nan, 37.811)","(5608499.0, nan, 38.113)","(5679409.0, nan, 38.43)","(5734995.0, nan, 38.76)","(5770573.0, nan, 39.102)","(5781305.0, nan, 39.454)","(5774440.0, nan, 39.813)","(5771973.0, nan, 40.178)","(5803677.0, nan, 40.546)","(5890360.0, nan, 40.914)","(6041239.0, nan, 41.282)","(6248965.0, nan, 41.65)","(6497283.0, nan, 42.016)","(6761623.0, nan, 42.374)","(7023994.0, nan, 42.721)","(7279630.0, nan, 43.053)","(7533814.0, nan, 43.367)","(7790774.0, nan, 43.66)","(8058112.0, nan, 43.931)","(8341290.0, 711.40957856021, 44.178)","(8640478.0, 642.768196831557, 44.404)","(8952971.0, 620.333123364606, 44.611)","(9278104.0, 623.815362351581, 44.799)","(9614756.0, 638.099006801712, 44.966)","(9961993.0, 758.745063152158, 45.107)","(10320116.0, 685.728127726666, 45.213)","(10689247.0, 756.767926189975, 45.283)","(11068051.0, 792.833017228347, 45.317)","(11454784.0, 891.149280264381, 45.324)","(11848385.0, 948.338177965671, 45.306)","(12248901.0, nan, 45.271)","(12657361.0, nan, 45.23)","(13075044.0, nan, 45.201)","(13503753.0, 251.078348367302, 45.201)","(13945205.0, 398.79099821209, 45.246)","(14400722.0, 522.679624255226, 45.35)","(14871572.0, 514.385174425759, 45.519)","(15359600.0, 423.619048972815, 45.763)","(15866871.0, 387.785124062555, 46.093)","(16395477.0, 556.838631674927, 46.522)","(16945753.0, 527.333528536691, 47.059)","(17519418.0, 872.494441791273, 47.702)","(18121477.0, 982.96100777685, 48.44)","(18758138.0, 1255.56451325546, 49.263)","(19433604.0, 1902.42214975937, 50.165)","(20149905.0, 2599.56594793067, 51.143)","(20905360.0, 3121.99608528081, 52.177)","(21695636.0, 4080.94103372417, 53.243)","(22514275.0, 3122.7815987074, 54.311)","(23356247.0, 3587.88364462837, 55.35)","(24220660.0, 4615.46821863819, 56.33)","(25107925.0, 5100.09702685927, 57.236)","(26015786.0, 5254.88112606683, 58.054)","(26941773.0, 5408.41170002082, 58.776)","(27884380.0, 4166.97983330278, 59.398)","(28842482.0, 3506.07312818832, 59.925)","(29816769.0, 4095.8100568707, 60.379)","(30809787.0, 3289.64399476678, 60.782)","(31825299.0, 2809.62608839129, 61.147)","(32866268.0, 1895.77086891313, nan)"
Albania,ALB,Europe & Central Asia,"(1608800.0, nan, 62.283)","(1659800.0, nan, 63.301)","(1711319.0, nan, 64.19)","(1762621.0, nan, 64.914)","(1814135.0, nan, 65.463)","(1864791.0, nan, 65.85)","(1914573.0, nan, 66.11)","(1965598.0, nan, 66.304)","(2022272.0, nan, 66.487)","(2081695.0, nan, 66.689)","(2135479.0, nan, 66.935)","(2187853.0, nan, 67.237)","(2243126.0, nan, 67.582)","(2296752.0, nan, 67.953)","(2350124.0, nan, 68.343)","(2404831.0, nan, 68.736)","(2458526.0, nan, 69.11)","(2513546.0, nan, 69.448)","(2566266.0, nan, 69.742)","(2617832.0, nan, 69.991)","(2671997.0, nan, 70.208)","(2726056.0, nan, 70.416)","(2784278.0, nan, 70.635)","(2843960.0, nan, 70.876)","(2904429.0, 639.484735848211, 71.134)","(2964762.0, 639.865909445734, 71.388)","(3022635.0, 693.873474633887, 71.605)","(3083605.0, 674.793383069492, 71.76)","(3142336.0, 652.774321396566, 71.843)","(3227943.0, 697.995596576519, 71.86)","(3286542.0, 617.230435515505, 71.836)","(3266790.0, 336.586994504629, 71.803)","(3247039.0, 200.852219772323, 71.802)","(3227287.0, 367.279225077581, 71.86)","(3207536.0, 586.416339644261, 71.992)","(3187784.0, 750.604449178826, 72.205)","(3168033.0, 1009.97766752106, 72.495)","(3148281.0, 717.380567391734, 72.838)","(3128530.0, 813.790263555599, 73.208)","(3108778.0, 1033.2416930932, 73.587)","(3089027.0, 1126.68331762741, 73.955)","(3060173.0, 1281.65939343074, 74.288)","(3051010.0, 1425.12484888368, 74.579)","(3039616.0, 1846.11881331912, 74.828)","(3026939.0, 2373.57984371994, 75.039)","(3011487.0, 2673.78728253113, 75.228)","(2992547.0, 2972.74326462176, 75.423)","(2970017.0, 3595.03716321514, 75.646)","(2947314.0, 4370.54012699014, 75.912)","(2927519.0, 4114.14011404922, 76.221)","(2913021.0, 4094.3503344202, 76.562)","(2905195.0, 4437.14288515077, 76.914)","(2900401.0, 4247.62998374252, 77.252)","(2895092.0, 4413.06086120676, 77.554)","(2889104.0, 4578.6319939825, 77.813)","(2880703.0, 3952.80121524465, 78.025)","(2876101.0, 4124.05572595352, 78.194)","(2873457.0, 4531.02080555986, 78.333)","(2866376.0, 5284.38018438156, 78.458)","(2854191.0, 5355.84779459031, 78.573)","(2837743.0, 5215.27675237003, nan)"
Andorra,AND,Europe & Central Asia,"(13410.0, nan, nan)","(14378.0, nan, nan)","(15379.0, nan, nan)","(16407.0, nan, nan)","(17466.0, nan, nan)","(18542.0, nan, nan)","(19646.0, nan, nan)","(20760.0, nan, nan)","(21886.0, nan, nan)","(23053.0, nan, nan)","(24275.0, 3238.69026097204, nan)","(25571.0, 3496.5320229667, nan)","(26885.0, 4218.27159918486, nan)","(28232.0, 5342.16856044208, nan)","(29515.0, 6320.80963168572, nan)","(30705.0, 7169.10100559556, nan)","(31782.0, 7151.24990940599, nan)","(32769.0, 7751.84330741357, nan)","(33744.0, 9127.81227979624, nan)","(34825.0, 11818.4733427033, nan)","(36063.0, 12378.7845111338, nan)","(37498.0, 10372.786050001, nan)","(39115.0, 9610.02061570912, nan)","(40854.0, 8025.20764054036, nan)","(42706.0, 7728.90669456943, nan)","(44593.0, 7775.61421691636, nan)","(46520.0, 10361.1477651737, nan)","(48459.0, 12615.1261769143, nan)","(50433.0, 14304.6405954742, nan)","(52452.0, 15165.2812551732, nan)","(54508.0, 18878.8523130643, nan)","(56666.0, 19534.2636301538, nan)","(58882.0, 20549.8055751695, nan)","(60974.0, 16515.6583953924, nan)","(62676.0, 16235.0680377239, nan)","(63860.0, 18458.1739929996, nan)","(64363.0, 19016.2881877293, nan)","(64318.0, 18355.6278604321, nan)","(64140.0, 18895.110661321, nan)","(64368.0, 19262.3089910407, nan)","(65390.0, 21854.2468030614, nan)","(67344.0, 22970.5122133619, nan)","(70048.0, 25067.2400639132, nan)","(73180.0, 32272.8458909877, nan)","(76250.0, 37966.1872524395, nan)","(78871.0, 40064.2249292197, nan)","(80995.0, 42674.7589681092, nan)","(82682.0, 47804.8499340211, nan)","(83860.0, 48719.6587699036, nan)","(84461.0, 43504.2156523202, nan)","(84454.0, 40850.2481432297, nan)","(83748.0, 43334.8114127088, nan)","(82427.0, 38686.4612635075, nan)","(80770.0, 39540.7248137461, nan)","(79213.0, 41303.9293714464, nan)","(77993.0, 35770.7767044085, nan)","(77295.0, 37475.6350587526, nan)","(76997.0, 38964.904478265, nan)","(77008.0, 41791.9698372411, nan)","(77146.0, 40897.3308728669, nan)","(77265.0, nan, nan)"
United Arab Emirates,ARE,Middle East & North Africa,"(92417.0, nan, 51.537)","(100801.0, nan, 52.56)","(112112.0, nan, 53.573)","(125130.0, nan, 54.572)","(138049.0, nan, 55.555)","(149855.0, nan, 56.523)","(159979.0, nan, 57.482)","(169768.0, nan, 58.432)","(182620.0, nan, 59.375)","(203103.0, nan, 60.304)","(234512.0, nan, 61.215)","(277463.0, nan, 62.099)","(330968.0, nan, 62.949)","(394625.0, nan, 63.759)","(467457.0, nan, 64.525)","(548295.0, 26848.0881760738, 65.244)","(637926.0, 30117.9489330308, 65.916)","(735347.0, 33823.1816606368, 66.545)","(835498.0, 28457.0780342099, 67.137)","(931752.0, 33512.6334236559, 67.692)","(1019507.0, 42764.5405564139, 68.213)","(1096602.0, 44987.5379901852, 68.701)","(1164816.0, 40025.8226237317, 69.158)","(1228457.0, 34843.1596263749, 69.585)","(1293970.0, 32309.8327132028, 69.986)","(1366165.0, 29720.8977184634, 70.363)","(1446386.0, 23467.8793176905, 70.717)","(1533526.0, 23726.3070493825, 71.049)","(1627068.0, 22295.1187062952, 71.361)","(1725676.0, 24028.2624976646, 71.657)","(1828437.0, 27729.3905933305, 71.939)","(1937159.0, 26612.253110068, 72.208)","(2052892.0, 26420.8598834079, 72.466)","(2173135.0, 25596.7393895625, 72.715)","(2294377.0, 25848.016250094, 72.957)","(2415099.0, 27221.9344117425, 73.194)","(2539121.0, 28975.0799572712, 73.428)","(2671361.0, 29512.6747918254, 73.657)","(2813214.0, 26899.601766231, 73.883)","(2966029.0, 28470.885858149, 74.106)","(3134067.0, 33291.3662541838, 74.327)","(3302722.0, 31280.7558649555, 74.544)","(3478769.0, 31567.5463066439, 74.758)","(3711931.0, 33499.1027760786, 74.968)","(4068577.0, 36333.1873330517, 75.174)","(4588222.0, 39365.4596409245, 75.376)","(5300172.0, 41907.4214695701, 75.573)","(6168846.0, 41809.4621626311, 75.767)","(7089486.0, 44498.9405069137, 75.957)","(7917368.0, 32024.1977823245, 76.145)","(8549998.0, 33893.2638727391, 76.332)","(8946778.0, 39194.672239975, 76.521)","(9141598.0, 40976.4907464015, 76.711)","(9197908.0, 42412.6395002704, 76.903)","(9214182.0, 43751.8056478669, 77.095)","(9262896.0, 38663.4005026605, 77.285)","(9360975.0, 38141.8671313451, 77.47)","(9487206.0, 40644.7911901772, 77.647)","(9630966.0, 43839.3244866903, 77.814)","(9770526.0, 43103.3362929869, 77.972)","(9890400.0, nan, nan)"
Argentina,ARG,Latin America & Caribbean,"(20481781.0, nan, 65.055)","(20817270.0, nan, 65.176)","(21153042.0, nan, 65.269)","(21488916.0, nan, 65.348)","(21824427.0, nan, 65.426)","(22159644.0, nan, 65.518)","(22494031.0, nan, 65.64)","(22828872.0, nan, 65.796)","(23168268.0, nan, 65.989)","(23517613.0, nan, 66.219)","(23880564.0, nan, 66.483)","(24259564.0, 686.187095942862, 66.774)","(24653172.0, 1127.09229944122, 67.078)","(25056475.0, 1887.32055774007, 67.383)","(25462305.0, 2560.37699556266, 67.686)","(25865775.0, 1875.28692654676, 67.985)","(26264681.0, 1948.22463077317, 68.283)","(26661397.0, 2129.70834783564, 68.585)","(27061041.0, 2146.36498032507, 68.891)","(27471046.0, 2520.92076414332, 69.197)","(27896532.0, 2758.83475016383, 69.496)","(28338514.0, 2776.32200648708, 69.777)","(28794550.0, 2927.89727805787, 70.033)","(29262049.0, 3553.37752706383, 70.262)","(29737097.0, 2659.70817528019, 70.466)","(30216284.0, 2926.1264113968, 70.65)","(30698964.0, 3613.62176405837, 70.825)","(31184411.0, 3562.87603046889, 71.001)","(31668939.0, 3985.19249987561, 71.186)","(32148137.0, 2383.86747344608, 71.384)","(32618648.0, 4333.48337196658, 71.594)","(33079002.0, 5735.3599805848, 71.813)","(33529320.0, 6823.53883710424, 72.032)","(33970103.0, 6969.11972904571, 72.246)","(34402669.0, 7483.14033425721, 72.453)","(34828168.0, 7408.70866363112, 72.651)","(35246376.0, 7721.35410460355, 72.843)","(35657438.0, 8213.12512693705, 73.029)","(36063451.0, 8289.5075682025, 73.213)","(36467218.0, 7774.73620280001, 73.396)","(36870796.0, 7708.09911454041, 73.576)","(37275644.0, 7208.37311355372, 73.755)","(37681743.0, 2593.404563368, 73.932)","(38087866.0, 3349.80630031036, 74.107)","(38491970.0, 4277.72157290954, 74.28)","(38892924.0, 5109.85224490403, 74.451)","(39289876.0, 5919.01233837714, 74.62)","(39684303.0, 7245.44685667197, 74.787)","(40080159.0, 9020.87332314274, 74.952)","(40482786.0, 8225.13758261645, 75.116)","(40788453.0, 10385.9644319555, 75.278)","(41261490.0, 12848.8641969705, 75.439)","(41733271.0, 13082.664325572, 75.598)","(42202935.0, 13080.2547323367, 75.756)","(42669500.0, 12334.7982453893, 75.913)","(43131966.0, 13789.060424772, 76.068)","(43590368.0, 12790.2424732447, 76.221)","(44044811.0, 14613.041824658, 76.372)","(44494502.0, 11633.4980086503, 76.52)","(44938712.0, 9912.28180859863, 76.667)","(45376763.0, 8441.9194391094, nan)"
Armenia,ARM,Europe & Central Asia,"(1874119.0, nan, 65.972)","(1941498.0, nan, 66.403)","(2009524.0, nan, 66.838)","(2077584.0, nan, 67.277)","(2145004.0, nan, 67.716)","(2211316.0, nan, 68.153)","(2276038.0, nan, 68.588)","(2339133.0, nan, 69.016)","(2401142.0, nan, 69.427)","(2462938.0, nan, 69.809)","(2525067.0, nan, 70.144)","(2587716.0, nan, 70.412)","(2650484.0, nan, 70.605)","(2712780.0, nan, 70.723)","(2773750.0, nan, 70.775)","(2832752.0, nan, 70.783)","(2889583.0, nan, 70.783)","(2944375.0, nan, 70.798)","(2997419.0, nan, 70.838)","(3049107.0, nan, 70.897)","(3099759.0, nan, 70.937)","(3148096.0, nan, 70.91)","(3193696.0, nan, 70.776)","(3238592.0, nan, 70.519)","(3285593.0, nan, 70.15)","(3335935.0, nan, 69.698)","(3392264.0, nan, 69.205)","(3451947.0, nan, 68.732)","(3504667.0, nan, 68.332)","(3536473.0, nan, 68.038)","(3538164.0, 637.85592120941, 67.879)","(3505249.0, 590.505875579775, 67.87)","(3442820.0, 369.707232276548, 67.99)","(3363111.0, 357.202848575393, 68.218)","(3283664.0, 400.515593762192, 68.538)","(3217349.0, 456.374933276273, 68.938)","(3168213.0, 504.059842642233, 69.404)","(3133081.0, 523.284410700367, 69.912)","(3108691.0, 609.17165368466, 70.434)","(3089020.0, 597.432898792278, 70.944)","(3069597.0, 622.740922945281, 71.409)","(3050686.0, 694.423455373229, 71.8)","(3033976.0, 783.241214960091, 72.112)","(3017938.0, 930.125472654125, 72.348)","(3000715.0, 1191.92100563238, 72.513)","(2981262.0, 1643.75688889146, 72.626)","(2958301.0, 2158.1480742298, 72.716)","(2932615.0, 3139.28071035448, 72.815)","(2907615.0, 4010.86138084833, 72.946)","(2888094.0, 2994.34047090816, 73.118)","(2877314.0, 3218.37829927419, 73.331)","(2876536.0, 3525.80719813557, 73.572)","(2884239.0, 3681.84469060495, 73.82)","(2897593.0, 3838.17387997786, 74.056)","(2912403.0, 3986.23162376713, 74.273)","(2925559.0, 3607.28929855361, 74.467)","(2936147.0, 3591.82805221639, 74.64)","(2944789.0, 3914.52785436696, 74.797)","(2951741.0, 4220.54032079145, 74.945)","(2957728.0, 4622.73818208855, 75.087)","(2963234.0, 4267.45211938157, nan)"
American Samoa,ASM,East Asia & Pacific,"(20127.0, nan, nan)","(20605.0, nan, nan)","(21246.0, nan, nan)","(22029.0, nan, nan)","(22850.0, nan, nan)","(23675.0, nan, nan)","(24473.0, nan, nan)","(25235.0, nan, nan)","(25980.0, nan, nan)","(26698.0, nan, nan)","(27362.0, nan, nan)","(27982.0, nan, nan)","(28564.0, nan, nan)","(29103.0, nan, nan)","(29595.0, nan, nan)","(30045.0, nan, nan)","(30455.0, nan, nan)","(30834.0, nan, nan)","(31262.0, nan, nan)","(31842.0, nan, nan)","(32648.0, nan, nan)","(33697.0, nan, nan)","(34969.0, nan, nan)","(36413.0, nan, nan)","(37946.0, nan, nan)","(39521.0, nan, nan)","(41114.0, nan, nan)","(42741.0, nan, nan)","(44346.0, nan, nan)","(45894.0, nan, nan)","(47351.0, nan, nan)","(48682.0, nan, nan)","(49900.0, nan, nan)","(51025.0, nan, nan)","(52099.0, nan, nan)","(53158.0, nan, nan)","(54209.0, nan, nan)","(55227.0, nan, nan)","(56180.0, nan, nan)","(57049.0, nan, nan)","(57816.0, nan, nan)","(58496.0, nan, nan)","(59077.0, 8666.65538195914, nan)","(59495.0, 8807.46281200101, nan)","(59684.0, 8528.24877689163, nan)","(59557.0, 8395.31877025371, nan)","(59109.0, 8340.52343974691, nan)","(58367.0, 8874.87792759607, nan)","(57490.0, 9740.82449121586, nan)","(56675.0, 11910.013233348, nan)","(56084.0, 10216.8176306968, nan)","(55755.0, 10223.2983588916, nan)","(55669.0, 11496.5240977923, nan)","(55717.0, 11450.7241954879, nan)","(55791.0, 11525.1563872309, nan)","(55806.0, 12059.6351646776, nan)","(55739.0, 12038.2496994923, nan)","(55617.0, 11003.8297642807, nan)","(55461.0, 11557.671156308, nan)","(55312.0, 11534.5675441134, nan)","(55197.0, nan, nan)"
Antigua and Barbuda,ATG,Latin America & Caribbean,"(54132.0, nan, 61.968)","(55005.0, nan, 62.523)","(55849.0, nan, 63.049)","(56701.0, nan, 63.54)","(57641.0, nan, 63.992)","(58699.0, nan, 64.401)","(59912.0, nan, 64.762)","(61240.0, nan, 65.081)","(62523.0, nan, 65.363)","(63553.0, nan, 65.616)","(64184.0, nan, 65.847)","(64354.0, nan, 66.066)","(64134.0, nan, 66.28)","(63649.0, nan, 66.498)","(63108.0, nan, 66.727)","(62671.0, nan, 66.975)","(62353.0, nan, 67.244)","(62162.0, 1246.69015964261, 67.533)","(62038.0, 1416.54053131116, 67.837)","(61948.0, 1760.83132448003, 68.154)","(61861.0, 2124.61852648141, 68.482)","(61789.0, 2392.68695794469, 68.818)","(61780.0, 2660.55809143556, 69.156)","(61779.0, 2948.31727549755, 69.491)","(61784.0, 3372.60207005529, 69.82)","(61785.0, 3899.39183968301, 70.137)","(61754.0, 4703.17940118439, 70.44)","(61713.0, 5463.59538268844, 70.728)","(61758.0, 6454.83545091774, 71.004)","(62007.0, 7076.53633490604, 71.267)","(62533.0, 7347.64636864328, 71.52)","(63363.0, 7602.34533414465, 71.765)","(64459.0, 7745.72179961652, 72.006)","(65777.0, 8136.18854727449, 72.247)","(67201.0, 8771.14372746878, 72.489)","(68672.0, 8406.35894515205, 72.732)","(70176.0, 9030.5749776224, 72.977)","(71707.0, 9491.66076559497, 73.222)","(73219.0, 9940.85222769034, 73.465)","(74674.0, 10260.5994054155, 73.705)","(76007.0, 10872.2929515751, 73.94)","(77212.0, 10367.3196068161, 74.171)","(78298.0, 10401.0508759034, 74.395)","(79311.0, 10797.9510571837, 74.613)","(80347.0, 11446.9691417182, 74.821)","(81462.0, 12557.5478500769, 75.019)","(82715.0, 13995.8044243845, 75.204)","(84029.0, 15622.6928710238, 75.376)","(85394.0, 16044.1057963132, 75.535)","(86743.0, 14160.5620007335, 75.683)","(88030.0, 13048.9605816199, 75.823)","(89250.0, 12746.6334682021, 75.956)","(90407.0, 13272.7349447294, 76.087)","(91510.0, 12910.5906255945, 76.218)","(92562.0, 13501.5809223367, 76.349)","(93571.0, 14285.3297773091, 76.483)","(94520.0, 15198.7429664112, 76.617)","(95425.0, 15383.5763979856, 76.752)","(96282.0, 16673.4369025555, 76.885)","(97115.0, 17113.3497705088, 77.016)","(97928.0, 14449.9965204973, nan)"
